datetime,zone,predicted_carbon_intensity,actual_carbon_intensity,is_green_window,recommendation
2025-11-15 12:00:00,US-MIDA-PJM,324.28,325.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-15 13:00:00,US-MIDA-PJM,328.3,308.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-15 14:00:00,US-MIDA-PJM,369.09,422.0,False,⏳ DEFER — High carbon
2025-11-15 15:00:00,US-MIDA-PJM,377.51,393.0,False,⏳ DEFER — High carbon
2025-11-15 16:00:00,US-MIDA-PJM,302.8,300.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-15 17:00:00,US-MIDA-PJM,308.67,299.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-15 18:00:00,US-MIDA-PJM,382.33,422.0,False,⏳ DEFER — High carbon
2025-11-15 19:00:00,US-MIDA-PJM,395.95,344.0,False,⏳ DEFER — High carbon
2025-11-15 20:00:00,US-MIDA-PJM,365.29,387.0,False,⏳ DEFER — High carbon
2025-11-15 21:00:00,US-MIDA-PJM,342.11,400.0,False,⏳ DEFER — High carbon
2025-11-15 22:00:00,US-MIDA-PJM,348.65,324.0,False,⏳ DEFER — High carbon
2025-11-15 23:00:00,US-MIDA-PJM,333.63,310.0,False,⏳ DEFER — High carbon
2025-11-16 00:00:00,US-MIDA-PJM,417.6,408.0,False,⏳ DEFER — High carbon
2025-11-16 01:00:00,US-MIDA-PJM,392.34,346.0,False,⏳ DEFER — High carbon
2025-11-16 02:00:00,US-MIDA-PJM,370.13,422.0,False,⏳ DEFER — High carbon
2025-11-16 03:00:00,US-MIDA-PJM,338.13,304.0,False,⏳ DEFER — High carbon
2025-11-16 04:00:00,US-MIDA-PJM,373.19,405.0,False,⏳ DEFER — High carbon
2025-11-16 05:00:00,US-MIDA-PJM,391.76,380.0,False,⏳ DEFER — High carbon
2025-11-16 06:00:00,US-MIDA-PJM,284.15,286.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-16 07:00:00,US-MIDA-PJM,304.66,307.0,True,✅ SCHEDULE NOW — Low carbon
2025-11-16 08:00:00,US-MIDA-PJM,361.93,393.0,False,⏳ DEFER — High carbon
2025-11-16 09:00:00,US-MIDA-PJM,364.08,413.0,False,⏳ DEFER — High carbon
2025-11-16 10:00:00,US-MIDA-PJM,359.72,419.0,False,⏳ DEFER — High carbon
2025-11-16 11:00:00,US-MIDA-PJM,337.15,397.0,False,⏳ DEFER — High carbon
